Frame#,Time,Nose,LEye,LEar,LShoulder,LElbow,LWrist,LHip,REye,REar,RShoulder,RElbow,RWrist,RHip
1,0.017,0.011406138698086522,0.006414047084329695,0.006876045375067948,0.010737783756436983,0.012764403628842718,0.0056648036153076654,0.0,0.015608010763707264,0.005923681287847846,0.01177030161040914,0.004953786430600437,0.0062369864518055824,0.0
2,0.033,0.010282752549779343,0.0052879580179876476,0.006757218362610045,0.009996374342730523,0.012574875744913217,0.004689616188986102,0.0,0.015517570686160302,0.005819579022575353,0.010550473923004506,0.003848376280978596,0.005926423879542052,0.0
3,0.05,0.007469605076575072,0.0030886890422961114,0.006776983104597543,0.007806567747736337,0.013138207640313279,0.003864582771786994,0.0,0.014670804340593346,0.005471060226318083,0.0075413858142916925,0.001300961183125779,0.005220153254455435,0.0
4,0.067,0.004533486517019536,0.002051219149676904,0.0075163155867756645,0.005012235030403259,0.015713529202569184,0.006513255714310558,0.0,0.012263869699242681,0.004987233702163797,0.004518849411077973,0.004103961500794022,0.004193447269251981,0.0
5,0.083,0.003875886995256746,0.00227760839478574,0.009228353049162967,0.003506422678457982,0.019956327317420718,0.011332696060514624,0.0,0.008598546388780744,0.004671723450719457,0.0036827299656641546,0.007394085474215347,0.003188259713386228,0.0
6,0.1,0.004619794367718141,0.0029470324056579894,0.011002726934718798,0.003472031105850914,0.02520664594903516,0.01775281667792465,0.0,0.005302357966037823,0.004940647730814416,0.005157761142201151,0.00803150048247512,0.003461935874622759,0.0
7,0.117,0.004596194077712461,0.0036844266853882203,0.011429129450662903,0.003772929895982798,0.03112189743572808,0.025753980274901056,0.0,0.003882653731663458,0.005378196723810363,0.007723664933177719,0.005914811915860244,0.005522680508593329,0.0
8,0.133,0.004680544840080041,0.0038658763560153204,0.009741278150222812,0.004374357095619862,0.03770739317428364,0.03465158726523202,0.0,0.003736642878306588,0.005350233639758623,0.011135304216769604,0.002990819285747579,0.008634523727456673,0.0
9,0.15,0.0057729974883070695,0.0030618621784790617,0.006489221833162974,0.004923921201644199,0.04459313287940202,0.0440459419243136,0.0,0.0038418745424598022,0.004952524608722253,0.0145880944608949,0.0025129663746252503,0.013462912017836318,0.0
10,0.167,0.006355706097673072,0.001915071800221527,0.0033922706259967507,0.00655534133359982,0.05105460312253929,0.053519762705004525,0.0,0.0033800887562311444,0.004980963762164894,0.01640982937144679,0.003511053972812292,0.020475900468599036,0.0
11,0.183,0.005516792546398689,0.004187182823809006,0.0029605742686181326,0.009315846714067611,0.05611733243838311,0.062024027602212484,0.0,0.002143595111022635,0.006960962577115432,0.01573539004918551,0.004727314248068801,0.026833607659053182,0.0
12,0.2,0.00439602092806661,0.0070366895625711195,0.004520508820918748,0.011142374073777984,0.05888601277043616,0.06751583147677324,0.0,0.0012186057606959322,0.009506971126494602,0.013122118731363245,0.006467031776634761,0.029313989834207372,0.0
13,0.217,0.004369496538504104,0.008466847110938047,0.004941912585224024,0.010801041616436337,0.05949724783550915,0.0684060304359197,0.0,0.0016039014932349043,0.010739413391801077,0.01059457408299164,0.007563233435509049,0.02685386378158649,0.0
14,0.233,0.00546145584986269,0.008354340189386699,0.004249999999999643,0.008987908544260589,0.05914748515363913,0.06562152847960778,0.0,0.003043024810940106,0.009716480844420923,0.010146920715172708,0.008743712026364734,0.019805239205826393,0.0
15,0.25,0.006391009309960303,0.0073270048450921246,0.003239212867349128,0.007604110730387883,0.059361203660303355,0.06194507647908767,0.0,0.005025435304528441,0.006862579689883348,0.011361888047327453,0.012228450433313096,0.009913879160045977,0.0
16,0.267,0.006577613549000893,0.005610926839658266,0.002320560277174489,0.008823264701912121,0.060776414010700115,0.0596668668525506,0.0,0.006678323142826001,0.0037326264211678065,0.011925707526180614,0.016626710438327905,0.006823855215345195,0.0
17,0.283,0.006389053137985123,0.003771935842508317,0.0024233241632107168,0.01253664628200065,0.06287799694646762,0.059762634647411474,0.0,0.007635607375971897,0.001781151313055443,0.010287127879053498,0.018070625335057072,0.014055248130147118,0.0
18,0.3,0.006631176366226442,0.002995830435788928,0.0034518111188187386,0.01661430106865762,0.06451422323798095,0.06264810452040831,0.0,0.007924802836664014,0.003318885355055398,0.007589960474205638,0.01616871980089926,0.019889255893572287,0.0
19,0.317,0.0075437059857875405,0.004271709259769189,0.004592112803493019,0.01907694944166917,0.06452491766751793,0.06821158259416064,0.0,0.007559265837368153,0.005706356105257105,0.007227378501227341,0.014922968873517971,0.02358023536778211,0.0
20,0.333,0.008493821283733473,0.007294175758782048,0.006303967004989583,0.01880465367934213,0.06227635988077632,0.07532645617576864,0.0,0.006515558303015772,0.0068696797596393844,0.00868014976829289,0.013676805182497812,0.023991248404365985,0.0
21,0.35,0.009111256773903181,0.010563735134885458,0.008213708054222682,0.01619390317372588,0.05804485334635649,0.0819559790375298,0.0,0.005491356845079084,0.006338375186118317,0.00872653997870911,0.009662556597506103,0.019528248769411196,0.0
22,0.367,0.009253377761661465,0.012604860173758689,0.009520241593573682,0.012657112624923849,0.05289825138886928,0.0855739884544364,0.0,0.005228288438867994,0.005464659184249562,0.007208675329073805,0.0036534230524261036,0.012503399537725939,0.0
23,0.383,0.009117839656410009,0.012175487669904249,0.010209921645145094,0.010130893346590175,0.04786527969206893,0.08484815849504324,0.0,0.005165510623355916,0.005763896251668251,0.006911222757225998,0.003990300740545635,0.011538197432874871,0.0
24,0.4,0.008689936708630129,0.009725481993197359,0.010606837417439428,0.01008377409504951,0.04379594730109153,0.0808870354259569,0.0,0.005199519208542546,0.007167635593415933,0.007783636682168705,0.008313543167627275,0.01518362604913602,0.0
25,0.417,0.008091044431962562,0.0075074962537450855,0.01092462814012385,0.011207809777115937,0.04147869935280009,0.07627917474645357,0.0,0.005591511423577543,0.008159350464344345,0.006964194138591843,0.009874968354379763,0.014761859638947827,0.0
26,0.433,0.007714434522374167,0.007501499850029911,0.010832935890145638,0.011587385382389572,0.04072747843900962,0.07366413645730188,0.0,0.006130660649554695,0.008126653677867076,0.005153154373779067,0.009305509120945714,0.00932335776423922,0.0
27,0.45,0.00789382670192344,0.008756426211645959,0.009822168803273227,0.010872212286374944,0.040163478435016046,0.07481144631672347,0.0,0.006528782428599837,0.00798905501295436,0.005824946351684556,0.007098239218284991,0.0023553131426624907,0.0
28,0.467,0.008466994744299296,0.009521817053483088,0.008142788220259163,0.010105196682894531,0.038355801386491487,0.08022328215674052,0.0,0.00629344897492556,0.007977938330170443,0.008520710064308303,0.003366749173905965,0.005908891605030391,0.0
29,0.483,0.00905317623820585,0.009804080783021288,0.006763135367564737,0.010928060212132388,0.034640510966208536,0.08921151831462132,0.0,0.005450000000000207,0.007184184017687378,0.011403946685249447,0.0034456494308034488,0.011252888518065215,0.0
30,0.5,0.009893937537704432,0.010527701553519682,0.006918814927428426,0.013236030371679265,0.029707658945127714,0.10054205587713042,0.0,0.005131033034390134,0.006044418913344568,0.014754151958008025,0.005027424788100311,0.015399594150496323,0.0
31,0.517,0.010858406881305679,0.011448799063657497,0.008619889790478754,0.01542830191563567,0.024877952086134497,0.11234925455916467,0.0,0.006591661399071006,0.005374709294464418,0.01886093847081826,0.005427015754537825,0.018629278032172906,0.0
32,0.533,0.011104616157256619,0.011984260511187662,0.010155909609680441,0.01646291286498203,0.02104239767707088,0.12172787273258324,0.0,0.009426823431040156,0.005080108266563246,0.02306040979687941,0.005592405564691683,0.01982838873938079,0.0
33,0.55,0.009836411947453532,0.012028923476354206,0.010663254662625077,0.016254307121498536,0.018221484571790413,0.12619609740400062,0.0,0.012166655251135833,0.006527825058930075,0.025952552860941863,0.0037406550228533926,0.017283156540400867,0.0
