Frame#,Time,Nose,LEye,LEar,LShoulder,LElbow,LWrist,LHip,REye,REar,RShoulder,RElbow,RWrist,RHip
1,0.017,-0.00011233861483071783,-0.00011260890663420482,-1.1882701245790337e-05,-7.414094137064603e-05,-1.895278839295013e-05,-9.75187426321564e-05,0.0,-9.044007754696343e-06,-1.04102265272493e-05,-0.00012198276874046351,-0.00011054101496218408,-3.1056257226353074e-05,0.0
2,0.033,-0.0001968266810755725,-0.00016626790210167922,-4.9531135235202604e-06,-0.00014656080043503228,1.8690200573527973e-05,-9.001104217603356e-05,0.0,-4.686032115569592e-05,-2.2631053076488145e-05,-0.0002114457898058724,-0.0001826412623737329,-5.0841659867507407e-05,0.0
3,0.05,-0.00028746330163799036,-0.00016183694341553715,3.7954861208280995e-05,-0.00024920696561636315,0.00015693267288279834,9.118197626622283e-05,0.0,-0.00016268504934588098,-4.161726602057778e-05,-0.00030158122559632665,1.2779260990771293e-05,-8.664883051450354e-05,0.0
4,0.067,-0.00017968590406591627,-4.055403237551856e-05,0.00012256849722827123,-0.00021500725346391777,0.0003409059838553719,0.0003734056644363815,0.0,-0.0003036128975906301,-3.996683877993134e-05,-0.0001929327924313769,0.0003046562145544784,-0.00010159467705346035,0.0
5,0.083,4.315392534930221e-06,4.479066279905427e-05,0.00017432056739715665,-7.701019622761727e-05,0.00047465583732329874,0.0005619780481807047,0.0,-0.00034807558666024294,-2.3292985674690583e-06,3.194558655615894e-05,0.00019637694908405484,-3.657556973146113e-05,0.0
6,0.1,3.6015354122785755e-05,7.034091453012401e-05,0.00011003882007499675,1.3325360876240795e-05,0.0005582785059153681,0.0007210642107193217,0.0,-0.0002357946328558643,3.532366365454533e-05,0.0002020467483756782,-7.39636779177551e-05,0.00011672103976035505,0.0
7,0.117,3.0375236180950414e-06,4.594219751786655e-05,-6.307243922479923e-05,4.5116299488447354e-05,0.0006250373612624242,0.0008449385293653684,0.0,-7.828575438656172e-05,2.047929544721032e-05,0.00029887715372842264,-0.000252034059836377,0.00025862939264169565,0.0
8,0.133,5.884017052973042e-05,-3.112822534545793e-05,-0.00024699538087499643,5.7549565283070055e-05,0.0006735617721836968,0.0009145980824706273,0.0,-2.038959460182795e-06,-2.128360575440549e-05,0.00034322147638585904,-0.0001700922770617497,0.00039701157546214946,0.0
9,0.15,8.375806287965154e-05,-9.754022778968968e-05,-0.00031745037621130315,0.00010904921189899792,0.0006673604974127821,0.0009434087719886251,0.0,-1.7827706103772204e-05,-1.8463493879686418e-05,0.00026372625773385925,2.6011734353235683e-05,0.0005920688370571182,0.0
10,0.167,-1.281024709541903e-05,5.626603226649719e-05,-0.00017643237822724205,0.00021959627562117065,0.0005762099779490549,0.0008989042838949439,0.0,-8.491397157185836e-05,0.00010042189841965893,5.736477941453071e-05,0.00011071739367217757,0.0006685347820608433,0.0
