Frame#,Time,Nose,LEye,LEar,LShoulder,LElbow,LWrist,LHip,REye,REar,RShoulder,RElbow,RWrist,RHip
1,0.0166666666666666,-7.279130283845397e-05,-0.00010546477693060071,-2.9894082165738062e-05,-0.0006089577721631891,-5.214215880328587e-05,8.07269396586754e-05,-0.002839485866913672,-6.090028875506848e-06,3.2017875003353046e-05,-0.00039191003452225277,-0.0004860025349518345,7.578246166694939e-06,-0.0003277712258478193
2,0.0333333333333333,-0.00013013175319828599,1.3571168971363712e-05,-2.6112073175432114e-05,-0.0010666875365458628,-1.3843954254346151e-05,0.0001862153996025719,-0.005315709530076115,-4.289897445494369e-05,4.5824815735614663e-05,-0.0006592720356005768,-0.0007871323465779712,2.5891039080646596e-05,-0.0005564134391127871
3,0.05,-0.00021264693070272592,0.00027291561695360527,4.93072535839778e-05,-0.0015001085575798204,0.00017577451643954127,0.00034759628549643317,-0.009414741494126144,-0.00015958645960557915,2.9453575404161632e-05,-0.0009210609768612991,-0.00032716975795478713,4.6979205650775216e-05,-0.0008019912431205709
4,0.0666666666666666,-0.00023837443489530203,0.0003862972890531161,0.00019875125182882046,-0.0004516818112631428,0.00042875869919899916,0.00043071596188347605,-0.008890197983264592,-0.00029907342764038167,-5.190341103174836e-05,-0.0007198529842791786,0.0004843272932167072,2.0190371948803254e-05,-0.0006909660905941062
5,0.0833333333333333,-0.00017265515379425827,0.00021693684322138766,0.0003072217047246192,0.0005326575459628318,0.0005763224516827286,0.0005234887239545444,0.001634912105858301,-0.00033762969836746785,-0.00010334418721996816,-0.0003765609026425192,0.0002352859667760711,-5.193849120570964e-06,-0.00048641793651745257
6,0.1,4.022773197381326e-05,-7.950575834375179e-05,0.0002680909973484535,0.0003017853389252629,0.0006621427877720224,0.0006720537597118003,0.007048249666329687,-0.00023137553980761885,-5.5807704863661636e-05,-0.0002899194700081324,-0.00027774004128384506,8.167458919569191e-05,-0.000290903364469526
7,0.1166666666666666,0.00020432240568029963,-0.0003384896219540235,3.6940706782757926e-05,-4.284734767561046e-06,0.0007163176667726637,0.0008048754698719281,0.00028333888407136056,-8.426100814750345e-05,3.0350468056824587e-05,-0.0005357360486215122,-0.0004970152420675051,0.0002550023530558202,0.00018405160092348915
8,0.1333333333333333,0.0001683961634095948,-0.00029111635234566855,-0.00024935030330609933,-0.00021469776188186458,0.0006853611263396185,0.0008782354426145492,-0.005935277659388335,-1.145875812999392e-05,6.8341439817307e-05,-0.0005626990650250591,-7.007228967776373e-05,0.00034228471579741797,0.0005988644042700061
9,0.15,4.738020835034758e-05,0.00021362525049621654,-0.00036468218744494896,-0.0003377430377544201,0.0005540075511468248,0.0009158040937400965,-0.003949399991381919,-2.549666979687889e-05,1.919868369431259e-05,0.000124867745818145,0.0003376998954056302,0.0002447399598278641,0.0006349620267335608
10,0.1666666666666666,-8.993721848822849e-05,0.0004604364935318924,-0.00020790600419721752,-0.00020826626852526298,0.0003673881730584007,0.0008831549465980505,0.004012798234676623,-8.149335154934453e-05,1.9441401950513867e-05,0.0005069212763039155,0.00016395083618322802,4.732050886916458e-05,0.0005460357713149154
