Frame#,Time,Nose,LEye,LEar,LShoulder,LElbow,LWrist,LHip,REye,REar,RShoulder,RElbow,RWrist,RHip
1,0.0166666666666666,0.013222015827498507,0.0019543424461531326,0.003857809508789605,0.04115561080097399,0.013389713216491713,0.0028164915972190077,0.3138482039704197,0.015680253687474156,0.006311625812907753,0.049159283185828545,0.019296919267489304,0.009777552210611403,0.03495542597919476
2,0.0333333333333333,0.01249410279911397,0.0008996946768471256,0.003558868687132224,0.035066033079342106,0.012868291628458855,0.003623760993805762,0.28545334530128297,0.015619353398719088,0.006631804562941284,0.04524018284060602,0.014436893917970959,0.009853334672278353,0.031677713720716566
3,0.05,0.010619380763532789,0.002225765825580407,0.0033355680452809627,0.01982186007005674,0.01311283413140479,0.006540799589270446,0.2075340133688974,0.014822274198375283,0.0072281221276200465,0.03597384247381701,0.003554272335929878,0.010295372992224336,0.02382715719693902
4,0.0666666666666666,0.008241164185059451,0.006358007015919231,0.00454501375881178,0.005063861927745696,0.01638378195724968,0.010575686703734426,0.09715851541876008,0.012427624206607505,0.0072208760710245155,0.026818963303380034,0.007893498758875215,0.010792918785293858,0.01563788885830515
5,0.0833333333333333,0.005851892065626748,0.00995171160664273,0.007310593081857372,0.01078822384479388,0.021688008115384773,0.015155118826939967,0.02973005370360556,0.00884080564556765,0.006190053906985079,0.02157678278823344,0.013240818200264022,0.010699180431200401,0.010007835385056894
6,0.1,0.004788061109174285,0.010696743880346984,0.010689447853304165,0.015717012847002332,0.027910230990904252,0.021045461182825315,0.1298567575359261,0.005675030239258148,0.005153992326625153,0.01928774525052965,0.012599218094396637,0.010689041802882437,0.005909530127956097
7,0.1166666666666666,0.006656446705103013,0.008361596439767693,0.012672413028826442,0.01682393062329914,0.034930863870825224,0.028596194021175973,0.1706950470301993,0.004213294849415272,0.005073899809711846,0.015778393388070792,0.007686017374587121,0.012332672215114238,0.004189768095666375
8,0.1333333333333333,0.008874509222780278,0.0039269514412665135,0.011428261988959323,0.01563131815165111,0.042236584326357525,0.037142970580263876,0.13552353521735333,0.003989810076308079,0.0057610016877616445,0.008573024278099408,0.0026589132530465357,0.01578908886399884,0.00959056214642588
9,0.15,0.010024369973294908,0.0025392693928543222,0.007685406962704456,0.012529975385661848,0.04863808639761759,0.046160902873466955,0.051989493842432594,0.003984119686815394,0.0064407286060579865,0.00452441208756961,0.006284571581031847,0.0191783665310626,0.016167056181066494
10,0.1666666666666666,0.009822113389787229,0.008199456451190844,0.004134618240060344,0.00887645739656271,0.05331673534929402,0.055459052455065806,0.056535535389714925,0.003479876680370501,0.006144975361647896,0.011070379194462309,0.00941291116115914,0.020683888060556124,0.022289802681097096
11,0.1833333333333333,0.008225625603530339,0.01174799926349217,0.003527286878760105,0.008364650015156587,0.0559858498587856,0.06382400180542797,0.13224545853596506,0.0023542526558285033,0.006829556645068263,0.01466283761364792,0.009563588304696407,0.02012477670844589,0.027087771607364804
12,0.2,0.005911834828141269,0.011492205583040056,0.004499913936933004,0.010289039041082058,0.056321614783967355,0.0685079832709053,0.1637836435253395,0.0014649467376067937,0.00885956521676481,0.01433496762983939,0.008121263148854444,0.01873578804802711,0.028223430777374964
13,0.2166666666666666,0.004486530373886657,0.008652342536840446,0.004524619432279103,0.010673971512690644,0.05476686317042907,0.06750468692487395,0.1382962716295866,0.001556556007606237,0.009459642840563012,0.01243587849605957,0.007133841439901237,0.018293818496094887,0.02378503765765725
14,0.2333333333333333,0.005422698353069895,0.0065528184267510566,0.0036271172158585936,0.009036003278440017,0.05316375543423406,0.062277533680851635,0.07345346961717353,0.0026894524429373332,0.007732158788513899,0.011860709280126102,0.00833166713726664,0.019769839372730927,0.015341797816719814
15,0.25,0.007244490914007249,0.006502048415860836,0.0026991876120281938,0.007051663116827084,0.05341237420058494,0.05673839811241859,0.03518787414624064,0.004574738102502555,0.004523878255534901,0.012854023327999904,0.01140764611987544,0.021771583288174703,0.008102914023668794
16,0.2666666666666666,0.008778014206199752,0.006256073723870935,0.0023624673037045234,0.006836427303808227,0.05653750560027385,0.053523196402915,0.08435031015813636,0.006557513570637188,0.0018320787135762276,0.013130304147585717,0.012361310150303223,0.021105505453530102,0.007865893843948308
17,0.2833333333333333,0.010023001739569357,0.004341917011430385,0.0028707243983632463,0.009496678100454006,0.06254236250491545,0.05316089272586245,0.10844648315783345,0.008251185453241253,0.0026028197893305763,0.011141043074602671,0.009617110340221785,0.015523097821088447,0.009173215775936706
