phase,Number of Movement Units,Values,Local Maxima IDs,Local Minima IDs
reaching,6.0,"[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]","[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]","[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]"
forward_transportation,6.0,"[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]","[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]","[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]"
back_transport,6.0,"[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]","[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]","[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]"
returning,6.0,"[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]","[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]","[0.0684060304359197, 0.0855739884544364, 0.1261960974040006, 0.1437276591335153, 0.1316383682670064, 0.0912033990594649]"
Total Sum,24.0,,,
Total Mean,9.6,,,
