velocity,peak_velocity,time_to_peak,time_of_peak,frame_of_peak,first_loc_peak,time_to_loc_peak,time_of_loc_peak,frame_of_loc_peak
endpoint,0.1339052836896289,0.5339999999999999,0.567,33,0.068493448591818,0.5339999999999999,0.567,11
elbow,3.330659124999997,0.517,0.55,32,2.7371175249999986,0.517,0.55,11
