phase,absolute_time,relative_time
not_started,0.017,0.0028813559322033904
reaching,1.034,0.1752542372881356
grasping,0.5,0.08474576271186442
forward_transportation,0.9329999999999998,0.15813559322033896
drinking,0.8170000000000002,0.13847457627118648
back_transport,0.9500000000000002,0.16101694915254242
release_of_grasp,0.23300000000000054,0.039491525423728906
returning,1.3330000000000002,0.22593220338983055
total_time,5.8999999999999995,100.0
