phase,absolute_time,relative_time
not_started,0.017,0.0028975626384864497
reaching,1.034,0.17623998636441113
grasping,0.5,0.08522243054371911
forward_transportation,0.9329999999999998,0.1590250553945798
drinking,0.8330000000000002,0.14198056928583605
back_transport,0.9330000000000003,0.1590250553945799
release_of_grasp,0.23300000000000054,0.039713652633373196
returning,1.3000000000000007,0.2215783194136698
total_time,5.867,100.0
