velocity,peak_velocity,time_to_peak,time_of_peak,frame_of_peak,first_loc_peak,time_to_loc_peak,time_of_loc_peak,frame_of_loc_peak
endpoint,0.1261960974040006,0.517,0.55,32,0.0684060304359197,0.517,0.55,12
elbow,3.1884443450000006,0.517,0.55,32,2.8102942900000016,0.517,0.55,12
