time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,L5_S1_Flex_Ext,L5_S1_Lat_Bending,L5_S1_axial_rotation,L4_L5_Flex_Ext,L4_L5_Lat_Bending,L4_L5_axial_rotation,L3_L4_Flex_Ext,L3_L4_Lat_Bending,L3_L4_axial_rotation,L2_L3_Flex_Ext,L2_L3_Lat_Bending,L2_L3_axial_rotation,L1_L2_Flex_Ext,L1_L2_Lat_Bending,L1_L2_axial_rotation,L1_T12_Flex_Ext,L1_T12_Lat_Bending,L1_T12_axial_rotation,Abs_r3,Abs_r2,Abs_r1,Abs_t1,Abs_t2,neck_flexion,neck_bending,neck_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.183,95.42732023,1.74560343,89.12680982,0.46423581,1.70151515,0.15191118,53.77470716,-10.38819259,0.0,58.72508595,1.0249461,0.0,0.0,0.0,53.77470716,-10.38819259,0.0,58.72508595,1.0249461,0.0,0.0,0.0,-0.03186065,0.52456967,-1.85536673,-0.05916842,0.69767766,-1.97132715,-0.05234387,1.2754387,-1.97132715,-0.03641354,1.2754387,-1.62344589,-0.0295858,1.06970248,-1.50748547,-0.01820518,0.81255842,-1.39152505,-0.22757747,5.93403704,-10.31899315,0.0,0.0,12.52372417,-3.10927351,12.73336585,1.43965489,-26.43568776,6.11935042,92.94545028,47.28038136,0.0,4.93517457,31.95577008,-17.08429585,20.04965925,57.9664103,48.64962032,0.0,4.93517457
0.2,95.57565378,1.70716165,89.16607395,0.46436623,1.7012403,0.15203056,53.75764509,-10.37728041,0.0,58.73323925,1.02508841,0.0,0.0,0.0,53.75764509,-10.37728041,0.0,58.73323925,1.02508841,0.0,0.0,0.0,-0.03394267,0.54121811,-1.77924484,-0.06303494,0.71982008,-1.89044764,-0.05576442,1.31591771,-1.89044764,-0.03879308,1.31591771,-1.55683924,-0.03151917,1.10365197,-1.44563643,-0.01939484,0.83834685,-1.33443363,-0.24244911,6.12236749,-9.89562603,0.0,0.0,12.57983973,-3.1589847,12.18285436,1.34651033,-26.55783116,5.43267808,92.78056838,47.17818976,0.0,4.93838128,31.03734514,-17.45561958,20.00047905,60.48080399,48.59906337,0.0,4.93838128
0.217,95.54286502,1.67988748,89.0527169,0.46456294,1.70130989,0.15187453,53.74969656,-10.37223761,0.0,58.73702799,1.02515453,0.0,0.0,0.0,53.74969656,-10.37223761,0.0,58.73702798,1.02515453,0.0,0.0,0.0,-0.0327953,0.53791314,-1.71629725,-0.06090415,0.71542448,-1.82356582,-0.0538794,1.30788201,-1.82356582,-0.03748175,1.30788201,-1.50176009,-0.03045372,1.09691248,-1.39449151,-0.01873924,0.83322746,-1.28722293,-0.23425356,6.08498104,-9.54553039,0.0,0.0,12.62459357,-3.25026694,12.07449221,1.39380538,-26.62070103,5.07558295,92.67962347,47.07953649,0.0,4.93983694,29.68906318,-18.05117319,19.33318953,63.58699888,48.59844609,0.0,4.93983694
0.233,95.62581818,1.65600287,89.05428875,0.46476927,1.70116711,0.15182173,53.74249947,-10.36772136,0.0,58.7404559,1.02521436,0.0,0.0,0.0,53.74249947,-10.36772136,0.0,58.7404559,1.02521436,0.0,0.0,0.0,-0.0329721,0.54791772,-1.66853492,-0.06123249,0.72873057,-1.77281835,-0.05416986,1.33220715,-1.77281835,-0.03768381,1.33220715,-1.45996805,-0.03061789,1.11731382,-1.35568462,-0.01884026,0.84872455,-1.25140119,-0.23551641,6.19815484,-9.27989066,0.0,0.0,12.52452813,-3.34993343,11.89431389,1.45009253,-26.76223404,4.78712532,92.52491984,46.97373746,0.0,4.94112754,28.57133737,-18.60978448,18.9776189,66.45799664,48.631981,0.0,4.94112754
0.25,95.65942108,1.64197052,89.07726085,0.46492211,1.70107624,0.15174597,53.73098019,-10.36058357,0.0,58.7459367,1.02531002,0.0,0.0,0.0,53.73098019,-10.36058357,0.0,58.7459367,1.02531002,0.0,0.0,0.0,-0.03228665,0.55018161,-1.64300025,-0.05995954,0.73174155,-1.74568776,-0.05304374,1.33771157,-1.74568776,-0.03690041,1.33771157,-1.43762522,-0.02998138,1.12193034,-1.3349377,-0.01844859,0.85223132,-1.23225019,-0.23062031,6.22376444,-9.13787448,0.0,0.0,12.31729025,-3.38844535,11.82252596,1.55286579,-26.88004749,4.69509442,92.31283142,46.81972334,0.0,4.94314308,27.40687483,-19.16027931,18.3747666,69.28486627,48.68177363,0.0,4.94314308
0.267,95.7789711,1.63870925,89.1173377,0.46502305,1.70099763,0.15170735,53.72813971,-10.35884506,0.0,58.74728759,1.0253336,0.0,0.0,0.0,53.72813971,-10.35884506,0.0,58.74728759,1.0253336,0.0,0.0,0.0,-0.03198507,0.56006923,-1.58211946,-0.05939948,0.74489208,-1.68100192,-0.05254828,1.36175233,-1.68100192,-0.03655574,1.36175233,-1.38435452,-0.02970134,1.14209317,-1.28547206,-0.01827627,0.86754724,-1.18658959,-0.22846619,6.33561515,-8.79927378,0.0,0.0,12.039374,-3.50216289,11.43390039,1.32031473,-26.99945708,4.23748823,92.30094523,46.7571734,0.0,4.94362892,26.58271174,-19.55791242,18.23478537,71.71674753,48.69632183,0.0,4.94362892
0.283,95.59713822,1.64803008,89.04072324,0.46506919,1.70129761,0.15166449,53.72122802,-10.35463894,0.0,58.75057195,1.02539092,0.0,0.0,0.0,53.72122802,-10.35463894,0.0,58.75057194,1.02539092,0.0,0.0,0.0,-0.03141003,0.53106571,-1.53180272,-0.05833157,0.7063174,-1.62754039,-0.05160354,1.29123317,-1.62754039,-0.03589853,1.29123317,-1.34032738,-0.02916736,1.0829492,-1.24458971,-0.01794769,0.82262079,-1.14885204,-0.22435873,6.00752156,-8.51942718,0.0,0.0,11.87414031,-3.36268788,11.35554122,1.11769707,-26.93996708,4.0077408,92.22574654,46.68583781,0.0,4.94479707,25.42104405,-19.93958483,17.24678725,74.40551469,48.65904915,0.0,4.94479707
0.3,95.55251837,1.666802,89.07075804,0.46498389,1.70139264,0.15174805,53.71426156,-10.35043857,0.0,58.75387984,1.02544865,0.0,0.0,0.0,53.71426156,-10.35043857,0.0,58.75387983,1.02544865,0.0,0.0,0.0,-0.03105672,0.5145003,-1.48997309,-0.05767543,0.6842854,-1.58309641,-0.05102309,1.25095603,-1.58309641,-0.03549473,1.25095603,-1.30372645,-0.02883927,1.04916901,-1.21060314,-0.01774581,0.79696096,-1.11747982,-0.22183505,5.82013027,-8.28678333,0.0,0.0,11.50899762,-3.18145288,10.98217038,0.75475173,-26.95047775,3.71858819,92.25880429,46.63640415,0.0,4.9459535,24.36733309,-20.24938848,16.57263328,76.932945,48.6296983,0.0,4.9459535
0.317,95.68392414,1.70638774,89.15621348,0.46481979,1.70128186,0.15192037,53.71203702,-10.34910653,0.0,58.75493574,1.02546708,0.0,0.0,0.0,53.71203702,-10.34910653,0.0,58.75493574,1.02546708,0.0,0.0,0.0,-0.03355134,0.51762611,-1.44331241,-0.06230819,0.68844273,-1.53351944,-0.05512149,1.25855613,-1.53351944,-0.03834582,1.25855613,-1.26289836,-0.03115577,1.05554317,-1.17269134,-0.01917123,0.80180285,-1.08248431,-0.23965384,5.8554901,-8.02727065,0.0,0.0,11.03780292,-3.11961314,10.37833172,0.1708731,-27.10750549,3.32616737,92.49710901,46.60919197,0.0,4.946318,23.4950425,-20.55241128,16.36176368,79.29820427,48.62115105,0.0,4.946318
0.333,95.57852673,1.7509983,89.07669813,0.46472049,1.70131015,0.15203288,53.70663615,-10.34588921,0.0,58.75749789,1.0255118,0.0,0.0,0.0,53.70663615,-10.34588921,0.0,58.75749789,1.0255118,0.0,0.0,0.0,-0.03621708,0.49488291,-1.39459687,-0.06725874,0.65819427,-1.48175917,-0.05950104,1.2032583,-1.48175917,-0.0413925,1.2032583,-1.22027226,-0.03363118,1.00916522,-1.13310995,-0.02069444,0.76657362,-1.04594765,-0.258695,5.59821442,-7.75632939,0.0,0.0,10.74288709,-2.86986997,10.11517842,-0.47226727,-26.9936209,2.81155948,92.94201379,46.58233834,0.0,4.94719388,22.26550536,-20.82005714,15.60538482,82.04972805,48.56659819,0.0,4.94719388
